gateway_name,symbol,exchange,orderid,tradeid,direction,offset,price,volume,time,datetime,pnl,net_npl,commission,slippage,interval
BACKTESTING,XBTUSD,BITMEX,83,83,空,平,10879.0,211.34202183867558,21:42:00,2019-06-23 21:42:00,-35012.32828460712,-36150.3487143359,459.8379711165903,105.67101091933779,1m
BACKTESTING,XBTUSD,BITMEX,84,84,多,开,11110.0,81.21827411167513,00:05:00,2019-06-25 00:05:00,0,0,180.46700507614216,40.609137055837564,1m
BACKTESTING,XBTUSD,BITMEX,85,85,多,开,11171.5,81.21827411167513,02:33:00,2019-06-25 02:33:00,0,0,181.46598984771575,40.609137055837564,1m
BACKTESTING,XBTUSD,BITMEX,86,86,多,开,11294.5,81.21827411167513,05:18:00,2019-06-25 05:18:00,0,0,183.46395939086295,40.609137055837564,1m
BACKTESTING,XBTUSD,BITMEX,87,87,空,平,11076.0,243.6548223350254,12:21:00,2019-06-25 12:21:00,-28263.959390862943,-29592.75532994924,539.7441624365483,121.8274111675127,1m
BACKTESTING,XBTUSD,BITMEX,88,88,多,开,11476.0,75.046904315197,21:41:00,2019-06-25 21:41:00,0,0,172.24765478424015,37.5234521575985,1m
BACKTESTING,XBTUSD,BITMEX,89,89,多,开,11542.5,75.046904315197,21:42:00,2019-06-25 21:42:00,0,0,173.2457786116323,37.5234521575985,1m
BACKTESTING,XBTUSD,BITMEX,90,90,多,开,11676.0,75.046904315197,22:58:00,2019-06-25 22:58:00,0,0,175.24953095684805,37.5234521575985,1m
BACKTESTING,XBTUSD,BITMEX,91,91,多,开,11876.0,75.046904315197,00:38:00,2019-06-26 00:38:00,0,0,178.2514071294559,37.5234521575985,1m
BACKTESTING,XBTUSD,BITMEX,92,92,空,平,12401.5,300.187617260788,04:47:00,2019-06-26 04:47:00,227804.87804877994,226061.14071294505,744.5553470919324,150.093808630394,1m
BACKTESTING,XBTUSD,BITMEX,93,93,多,开,12356.0,57.77841976021956,04:48:00,2019-06-26 04:48:00,0,0,142.7820309114546,28.88920988010978,1m
BACKTESTING,XBTUSD,BITMEX,94,94,多,开,12356.0,57.77841976021956,04:48:00,2019-06-26 04:48:00,0,0,142.7820309114546,28.88920988010978,1m
BACKTESTING,XBTUSD,BITMEX,95,95,多,开,12529.0,57.77841976021956,05:02:00,2019-06-26 05:02:00,0,0,144.78116423515817,28.88920988010978,1m
BACKTESTING,XBTUSD,BITMEX,96,96,多,开,12788.5,57.77841976021956,05:07:00,2019-06-26 05:07:00,0,0,147.77986422071356,28.88920988010978,1m
BACKTESTING,XBTUSD,BITMEX,97,97,空,平,12442.5,231.11367904087825,05:33:00,2019-06-26 05:33:00,-14993.499927776977,-16377.865087389862,575.1263902932255,115.55683952043913,1m
BACKTESTING,XBTUSD,BITMEX,98,98,多,开,12489.0,53.872053872053876,05:34:00,2019-06-26 05:34:00,0,0,134.56161616161617,26.936026936026938,1m
